amount,title,beginning,ending,duration,summary,project_id,grade,date,stelehos_id,programm_id,supervisor_id,grader_id,organisation_id
391820,African fish eagle,1/1/2000,2/1/2001,13,consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien,1,3,12/1/1999,1,1,1,80,1
143448,African ground squirrel (unidentified),2/1/2000,4/1/2001,14,tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse,2,4,1/1/2000,2,2,2,81,2
216332,American badger,3/1/2000,6/1/2001,15,nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere,3,5,1/30/2000,3,3,3,82,3
856065,Antelope ground squirrel,4/1/2000,8/1/2001,16,varius ut blandit non interdum in ante vestibulum ante ipsum primis in,4,6,3/1/2000,4,4,4,83,4
682063,Arthritazin Pain Relieving,5/1/2000,10/1/2001,17,laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus,5,7,3/31/2000,5,5,5,84,5
988639,Asian foreset tortoise,6/1/2000,12/1/2001,18,tempus semper est quam pharetra,6,8,5/1/2000,6,6,6,85,6
652217,"Bandicoot, southern brown",7/1/2000,2/1/2002,19,mattis pulvinar nulla pede ullamcorper augue,7,9,5/31/2000,7,7,7,86,7
953419,Blesbok,8/1/2000,4/1/2002,20,vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus,8,10,7/1/2000,8,8,8,87,8
130522,Bontebok,9/1/2000,6/1/2002,21,proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum,9,3,8/1/2000,9,9,9,88,9
540893,California sea lion,10/1/2000,8/1/2002,22,lectus in est risus auctor,10,4,8/31/2000,10,10,10,89,10
669594,Cefepime,11/1/2000,10/1/2002,23,imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris,11,5,10/1/2000,1,11,11,90,11
542354,Cherry Birch Pollen,12/1/2000,12/1/2002,24,pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula,12,6,10/31/2000,2,12,12,91,12
679829,Ciprofloxacin,1/1/2001,2/1/2003,25,non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate,13,7,12/1/2000,3,13,13,92,13
43876,Clindamycin in 5 Percent Dextrose,2/1/2001,4/1/2003,26,vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget,14,8,1/1/2001,4,14,14,93,14
905398,"Cormorant, king",3/1/2001,6/1/2003,27,et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante,15,9,1/29/2001,5,15,15,94,15
307785,"Deer, mule",4/1/2001,8/1/2003,28,mattis odio donec vitae nisi nam,16,10,3/1/2001,6,16,16,95,16
627997,"Deer, white-tailed",5/1/2001,10/1/2003,29,ut ultrices vel augue vestibulum ante ipsum primis in faucibus,17,3,3/31/2001,7,17,17,96,17
152025,Detrol LA,6/1/2001,12/1/2003,30,suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper,18,4,5/1/2001,8,18,18,97,18
668211,"Dove, mourning collared",7/1/2001,2/1/2004,31,orci vehicula condimentum curabitur in libero ut massa,19,5,5/31/2001,9,19,19,98,19
589991,Enalapril Maleate,8/1/2001,4/1/2004,32,cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere,20,6,7/1/2001,10,20,20,99,20
932425,Endometrin,9/1/2001,6/1/2004,33,tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed,21,7,8/1/2001,1,21,21,100,21
909993,Etomidate,10/1/2001,8/1/2004,34,vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent,22,8,8/31/2001,2,22,22,1,22
456697,European beaver,11/1/2001,10/1/2004,35,potenti cras in purus eu magna vulputate luctus cum sociis natoque,23,9,10/1/2001,3,23,23,2,23
206061,European wild cat,12/1/2001,12/1/2004,36,velit vivamus vel nulla eget eros elementum,24,10,10/31/2001,4,24,24,3,24
244556,Fanapt,1/1/2002,2/1/2005,37,turpis sed ante vivamus tortor duis mattis egestas metus aenean,25,3,12/1/2001,5,25,25,4,25
760211,"Francolin, swainson's",2/1/2002,4/1/2005,38,nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis,26,4,1/1/2002,6,26,26,5,26
433644,"Goose, snow",3/1/2002,6/1/2005,39,felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec,27,5,1/29/2002,7,27,27,6,27
879641,Great kiskadee,4/1/2002,8/1/2005,40,non quam nec dui luctus rutrum nulla,28,6,3/1/2002,8,28,28,7,28
504423,Greater blue-eared starling,5/1/2002,10/1/2005,41,commodo placerat praesent blandit nam nulla integer pede justo lacinia eget,29,7,3/31/2002,9,29,29,8,29
811767,Green vine snake,6/1/2002,12/1/2005,42,in felis donec semper sapien a libero nam dui proin leo odio,30,8,5/1/2002,10,30,30,9,30
460197,Halcion,1/1/2020,1/1/2021,12,bibendum morbi non quam nec dui luctus rutrum nulla tellus in,31,9,12/1/2019,1,1,31,10,1
958356,honey bee hymenoptera venom,2/1/2020,3/1/2021,13,elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor,32,10,1/1/2020,2,2,32,11,2
839283,"Hornbill, southern ground",3/1/2020,5/1/2021,14,consequat dui nec nisi volutpat eleifend donec,33,3,1/30/2020,3,3,33,12,3
680431,Indian jackal,4/1/2020,7/1/2021,15,morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis,34,4,3/1/2020,4,4,34,13,4
388790,Jaguar,5/1/2020,9/1/2021,16,aenean lectus pellentesque eget nunc donec quis,35,5,3/31/2020,5,5,35,14,5
933593,"Kiskadee, great",6/1/2020,11/1/2021,17,imperdiet et commodo vulputate justo in blandit,36,6,5/1/2020,6,6,36,15,6
434938,LACTULOSE,7/1/2020,1/1/2022,18,justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo,37,7,5/31/2020,7,7,37,16,7
424892,Leeks,8/1/2020,3/1/2022,19,morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate,38,8,7/1/2020,8,8,38,17,8
123433,"Legaan, ground",9/1/2020,5/1/2022,20,odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede,39,9,8/1/2020,9,9,39,18,9
276677,Levofloxacin,10/1/2020,7/1/2022,21,vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus,40,10,8/31/2020,10,10,40,19,10
146435,"Lion, asian",11/1/2020,9/1/2022,22,amet eleifend pede libero quis orci nullam molestie,41,3,10/1/2020,1,11,41,20,11
499193,METHADONE HYDROCHLORIDE,12/1/2020,11/1/2022,23,pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est,42,4,10/31/2020,2,12,42,21,12
759060,Native cat,1/1/2021,1/1/2023,24,justo in blandit ultrices enim lorem ipsum dolor sit,43,5,12/1/2020,3,13,43,22,13
753823,NovoLog,2/1/2021,3/1/2023,25,in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum,44,6,1/1/2021,4,14,44,23,14
689462,Olay Fresh Effects Soak Up the Sun Protection,3/1/2021,5/1/2023,26,amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis,45,7,1/29/2021,5,15,45,24,15
546606,Pain Relief PM,4/1/2021,7/1/2023,27,leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue,46,8,3/1/2021,6,16,46,25,16
901879,"Parakeet, rose-ringed",5/1/2021,9/1/2023,28,fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis,47,9,3/31/2021,7,17,47,26,17
782905,"Phalarope, red",6/1/2021,11/1/2023,29,facilisi cras non velit nec nisi vulputate,48,10,5/1/2021,8,18,48,27,18
603913,"Pigeon, wood",7/1/2021,1/1/2024,30,in consequat ut nulla sed accumsan,49,3,5/31/2021,9,19,49,28,19
507299,"Pintail, white-cheeked",8/1/2021,3/1/2024,31,sodales sed tincidunt eu felis fusce posuere felis,50,4,7/1/2021,10,20,50,29,20
714401,Plains zebra,9/1/2021,5/1/2024,32,dolor vel est donec odio justo sollicitudin ut suscipit a,51,5,8/1/2021,1,21,51,30,21
595821,PREP (AND) PRIME CC COLOR CORRECT SPF30 BROAD SPECTRUM,10/1/2021,7/1/2024,33,nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat,52,6,8/31/2021,2,22,52,31,22
884549,Proparacaine Hydrochloride,11/1/2021,9/1/2024,34,ultrices posuere cubilia curae nulla dapibus dolor vel est donec,53,7,10/1/2021,3,23,53,32,23
249468,Red and blue macaw,12/1/2021,11/1/2024,35,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra,54,8,10/31/2021,4,24,54,33,24
674838,Red brocket,1/1/2022,1/1/2025,36,dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum,55,9,12/1/2021,5,25,55,34,25
39650,Red lava crab,2/1/2022,3/1/2025,37,maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien,56,10,1/1/2022,6,26,56,35,26
781742,Red phalarope,3/1/2022,5/1/2025,38,orci luctus et ultrices posuere,57,3,1/29/2022,7,27,57,36,27
470555,Red sheep,4/1/2022,7/1/2025,39,ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla,58,4,3/1/2022,8,28,58,37,28
917230,"Snake, tiger",5/1/2022,9/1/2025,40,commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus,59,5,3/31/2022,9,29,59,38,29
810004,Softlips Peach Mango,6/1/2022,11/1/2025,41,pede ac diam cras pellentesque volutpat dui maecenas tristique est et,60,6,5/1/2022,10,30,60,39,30
309511,"Starfish, crown of thorns",7/1/2022,1/1/2026,42,odio curabitur convallis duis consequat dui nec nisi volutpat eleifend,61,7,5/31/2022,1,1,61,40,1
166984,Stila Hydrating Primer Oil-Free SPF 30,8/1/2022,3/1/2026,43,nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta,62,8,7/1/2022,2,2,62,41,2
148630,Surmontil,9/1/2022,5/1/2026,44,vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,63,9,8/1/2022,3,3,63,42,3
351760,Tecfidera,10/1/2022,7/1/2026,45,orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin,64,10,8/31/2022,4,4,64,43,4
697758,Theophylline in Dextrose,11/1/2022,9/1/2026,46,vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac,65,3,10/1/2022,5,5,65,44,5
868566,TLB-Matrix,12/1/2022,11/1/2026,47,posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec,66,4,10/31/2022,6,6,66,45,6
491776,"Tortoise, radiated",1/1/2023,1/1/2027,48,euismod scelerisque quam turpis adipiscing lorem vitae,67,5,12/1/2022,7,7,67,46,7
677021,Tropical buckeye butterfly,2/1/2023,2/1/2027,48,nunc viverra dapibus nulla suscipit ligula in lacus curabitur,68,6,1/1/2023,8,8,68,47,8
603151,Tsessebe,3/1/2023,3/1/2027,48,curabitur gravida nisi at nibh,69,7,1/29/2023,9,9,69,48,9
444879,Two-toed sloth,4/1/2023,4/1/2027,48,pulvinar nulla pede ullamcorper augue a suscipit,70,8,3/1/2023,10,10,70,49,10
418070,Vancomycin Hydrochloride,5/1/2023,5/1/2027,48,platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis,71,9,3/31/2023,1,11,71,50,11
880383,"Wallaby, agile",6/1/2023,6/1/2027,48,volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc,72,10,5/1/2023,2,12,72,51,12
601962,WHITE LAVENDER AND MINT ANTIBACTERIAL MOISTURIZING HAND SP,7/1/2023,7/1/2027,48,quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna,73,3,5/31/2023,3,13,73,52,13
35256,"White-eye, pale",8/1/2023,8/1/2027,48,ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent,74,4,7/1/2023,4,14,74,53,14
869816,White-winged tern,9/1/2023,9/1/2027,48,ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus,75,5,8/1/2023,5,15,75,54,15
822343,Wild boar,10/1/2023,10/1/2027,48,orci nullam molestie nibh in,76,6,8/31/2023,6,16,76,55,16
141068,"Wombat, common",11/1/2023,11/1/2027,48,a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id,77,7,10/1/2023,7,17,77,56,17
780046,"Wombat, southern hairy-nosed",12/1/2023,12/1/2027,48,sed justo pellentesque viverra pede ac diam,78,8,10/31/2023,8,18,78,57,18
813608,XEROSTOM,1/1/2024,1/1/2028,48,malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin,79,9,12/1/2023,9,19,79,58,19
